#Latin name	Filename (NCBI Taxonomy ID)
Ambystoma tigrinum stebbensi virus	217733
Ambystoma tigrinum tigrinum	43116
Ameiurus catus	66911
Ameiurus nebulosus	27778
American plum line pattern virus	134632
Amia calva	7924
Amianthium muscitoxicum	164818
Aminobacter ciceronei	150723
Aminobacter lissarensis	305698
Aminomonas aminovorus	135579
Ammi majus	48026
Ammopiptanthus mongolicus	126911
Ammothea hilgendorfi	258330
Ammotragus lervia	9899
Amoeba proteus	5775
Amolops loloensis	318551
Amorpha fruticosa	48131
Amorphophallus konjac	78372
Amorphophallus paeonifolius var. campanulatus	203634
Amorphotheca resinae	5101
Ampelomyces quisqualis	50730
Amphibacillus xylanus	1449
Amphidinium carterae	2961
Amphitrite ornata	129555
Amphiuca crassipes	399438
Amphiuma means	8312
Amphiuma tridactylum	8313
Amphiura filiformis	82378
Amphotropic murine leukemia virus	188539
Ampullaria crossean	228791
Amsacta albistriga nucleopolyhedrovirus	91234
Amsacta moorei entomopoxvirus 'L'	28321
Amur virus	86782
Amur virus Solovey/AP61/1999	170954
Amur virus Solovey/AP63/1999	170955
Amycolatopsis azurea	36819
Amycolatopsis coloradensis	76021
Amycolatopsis lactamdurans	1913
Amycolatopsis lurida	31959
Amycolatopsis mediterranei	33910
Amycolatopsis methanolica	1814
Amycolatopsis orientalis	31958
Amycolatopsis sp.	37632
Amycolatopsis sp. #8	305694
Amycolatopsis sp. CsO-2	122087
Amycolatopsis sp. HR167	124251
Amycolatopsis sp. K104-1	255246
Amylomyces rouxii	29923
Anabaena augstumalis str. 'SCHMIDKE JAHNKE/4a'	264685
Anabaena azollae	1164
Anabaena cf. circinalis macrospora 0tu25s6	264674
Anabaena cf. circinalis macrospora 1tu23s3	264670
Anabaena cf. circinalis macrospora 1tu26s10	264671
Anabaena cf. circinalis macrospora 1tu27s5	264672
Anabaena cf. circinalis macrospora 1tu28s13	264673
Anabaena cf. crassa 1tu27s7	264676
Anabaena cf. cylindrica 133	136078
Anabaena cf. cylindrica PMC9705	136079
Anabaena cf. cylindrica XP6B	264675
Anabaena cf. lemmermannii 262	135961
Anabaena cf. scheremetievi PMC9701	136080
Anabaena circinalis 123	284454
Anabaena circinalis 1tu30s11	267931
Anabaena circinalis 1tu33s12	267932
Anabaena circinalis 1tu34s5	267962
Anabaena circinalis 86	46233
Anabaena circinalis 90	46234
Anabaena compacta	136073
Anabaena compacta ANACOM-KOR	267933
Anabaena crassa	136074
Anabaena cylindrica PCC 7122	272123
Anabaena flos-aquae 0tu33s15	267936
Anabaena flos-aquae 0tu33s2a	267937
Anabaena flos-aquae 14	264666
Anabaena flos-aquae 1tu30s4	267938
Anabaena flos-aquae 1tu31s11	267935
Anabaena flos-aquae 1tu35s12	267939
Anabaena flos-aquae 37	284461
Anabaena lemmermannii	54295
Anabaena lemmermannii 'BC Ana 0001'	315352
Anabaena lemmermannii 'BC Ana 0004'	320672
Anabaena lemmermannii 'BC Ana 0010'	320673
Anabaena lemmermannii 'BC Ana 0014'	320674
Anabaena lemmermannii 'BC Ana 0017'	320675
Anabaena lemmermannii 'BC Ana 0018'	320676
Anabaena lemmermannii 'BC Ana 0027'	320677
Anabaena lemmermannii 'BC Ana 0028'	320678
Anabaena lemmermannii 'BC Ana 0029'	320679
Anabaena lemmermannii 'BC Ana 0030'	315354
Anabaena lemmermannii 'BC Ana 0031'	320680
Anabaena lemmermannii 'BC Ana 0032'	320681
Anabaena lemmermannii 'BC Ana 0033'	320682
Anabaena lemmermannii 'BC Ana 0034'	320683
Anabaena lemmermannii 1tu32s11	267934
Anabaena lemmermannii 202A2	284463
Anabaena lemmermannii 256	284462
Anabaena lemmermannii 66A	213619
Anabaena macrospora	135103
Anabaena mendotae	136070
Anabaena mucosa 1tu35s5	264678
Anabaena oscillarioides BECID22	267940
Anabaena oscillarioides BECID32	267941
Anabaena oscillarioides str. 'BO HINDAK 1984/43'	267942
Anabaena planctonica	136072
Anabaena planctonica 1tu28s8	267944
Anabaena planctonica 1tu30s13	267945
Anabaena planctonica 1tu33s10	267943
Anabaena planctonica 1tu33s8	267946
Anabaena planctonica 1tu36s8	267947
Anabaena siamensis TISTR 8012	213768
Anabaena sigmoidea 0tu36s7	264680
Anabaena sigmoidea 0tu38s4	264681
Anabaena smithii 1tu39s8	264683
Anabaena solitaria	119678
Anabaena solitaria 'BC Ana 0026'	320668
Anabaena solitaria 'BC Ana 0035'	320669
Anabaena solitaria 'BC Ana 0036'	320670
Anabaena solitaria 'BC Ana 0037'	320671
Anabaena solitaria 82	284472
Anabaena sp. 0tu37s9	264663
Anabaena sp. 0tu39s7	264664
Anabaena sp. 1tu34s7	264662
Anabaena sp. 277	136142
Anabaena sp. 299	136071
Anabaena sp. CA	52271
Anabaena sp. CH1	360069
Anabaena sp. IC-1	136076
Anabaena sp. L-31	29412
Anabaena sp. PCC 7108	163908
Anabaena spiroides 1tu39s17	267948
Anabaena spiroides PMC9403	284499
Anabaena spiroides PMC9702	284500
Anabaena variabilis	1172
Anabaena variabilis ATCC 29413	240292
Anabas testudineus	64144
Anableps anableps	195821
Anacamptis laxiflora	59336
Anacamptis morio	59340
Anacamptis pyramidalis	59316
